// x1 y1 x2 y2
297.10837116 41.5525665498 -297.045436116 -42.0001057441
296.066468094 48.4215496506 -296.06394385 -48.4369812434
290.535611844 74.7600043496 -290.498097934 -74.9056412889
289.956274285 76.9763535306 -289.999272815 -76.8142028969
277.925015609 112.949925626 -277.899516749 -113.012647924
264.213982446 142.094938263 -264.267605594 -141.995185248
211.912111633 212.351729316 -211.880080727 -212.383689089
112.149542569 278.24895346 -112.568624666 -278.079673369
106.084298588 280.617393604 -106.098959427 -280.611850798
80.3788431139 289.031558103 -80.523760958 -288.991217723
78.4765676857 289.553843567 -78.3146775217 -289.597671408
41.0779162167 297.174367669 -41.1450213552 -297.165084116
9.1623468873 299.860053024 -9.04918360414 -299.863489402
-77.9896473864 289.685372259 77.9459182746 -289.697141554
-184.539791688 236.527092072 184.895890363 -236.248830107
-189.96744279 232.190375941 189.979641696 -232.180394825
-210.011894131 214.231193629 210.119249689 -214.125899671
-211.64153847 212.621398721 211.522699887 -212.739623561
-236.780034469 184.215133138 236.821593159 -184.161703439
-255.164836107 157.768521621 255.105249638 -157.86485235
-289.858020178 77.3455114307 289.869714969 -77.3016710273
