# An optimal solution to the Kobon Triangle Problem for 21 lines (x1,y1,x2,y2):
597.10837116, 341.55256655, 2.95456388376, 257.999894256
596.066468094, 348.421549651, 3.93605614999, 251.563018757
590.535611844, 374.76000435, 9.5019020663, 225.094358711
589.956274285, 376.976353531, 10.0007271848, 223.185797103
577.925015609, 412.949925626, 22.1004832514, 186.987352076
564.213982446, 442.094938263, 35.7323944061, 158.004814752
511.912111633, 512.351729316, 88.1199192726, 87.6163109113
412.149542569, 578.24895346, 187.431375334, 21.9203266313
406.084298588, 580.617393604, 193.901040573, 19.3881492016
380.378843114, 589.031558103, 219.476239042, 11.0087822767
378.476567686, 589.553843567, 221.685322478, 10.4023285925
341.077916217, 597.174367669, 258.854978645, 2.83491588399
309.162346887, 599.860053024, 290.950816396, 0.136510598408
222.010352614, 589.685372259, 377.945918275, 10.3028584464
115.460208312, 536.527092072, 484.895890363, 63.7511698932
110.03255721, 532.190375941, 489.979641696, 67.8196051754
89.9881058692, 514.231193629, 510.119249689, 85.8741003289
88.35846153, 512.621398721, 511.522699887, 87.2603764394
63.2199655315, 484.215133138, 536.821593159, 115.838296561
44.8351638929, 457.768521621, 555.105249638, 142.13514765
10.141979822, 377.345511431, 589.869714969, 222.698328973
